csv_name,match_name,style_link,style_name
americanadjunctlager,americanadjunctlager,https://www.beeradvocate.com/beer/style/38/,American Adjunct Lager
munichhelleslager,munichhelleslager,https://www.beeradvocate.com/beer/style/21/,Munich Helles Lager
germanpilsener,germanpilsener,https://www.beeradvocate.com/beer/style/41/,German Pilsener
czechpilsener,czechpilsener,https://www.beeradvocate.com/beer/style/40/,Czech Pilsener
americanamberredlager,americanamberredlager,https://www.beeradvocate.com/beer/style/147/,American Amber / Red Lager
oktoberfest,märzenoktoberfest,https://www.beeradvocate.com/beer/style/29/,Märzen / Oktoberfest
schwarzbier,schwarzbier,https://www.beeradvocate.com/beer/style/31/,Schwarzbier
viennalager,viennalager,https://www.beeradvocate.com/beer/style/30/,Vienna Lager
weizenbock,weizenbock,https://www.beeradvocate.com/beer/style/92/,Weizenbock
bock,bock,https://www.beeradvocate.com/beer/style/32/,Bock
doppelbock,doppelbock,https://www.beeradvocate.com/beer/style/35/,Doppelbock
maibockhellesbock,maibockhellesbock,https://www.beeradvocate.com/beer/style/33/,Maibock / Helles Bock
americanbrownale,americanbrownale,https://www.beeradvocate.com/beer/style/73/,American Brown Ale
englishbrownale,englishbrownale,https://www.beeradvocate.com/beer/style/74/,English Brown Ale
americanamberredale,americanamberredale,https://www.beeradvocate.com/beer/style/128/,American Amber / Red Ale
americanpalealeapa,americanpalealeapa,https://www.beeradvocate.com/beer/style/97/,American Pale Ale (APA)
americanblondeale,americanblondeale,https://www.beeradvocate.com/beer/style/99/,American Blonde Ale
englishbitter,englishbitter,https://www.beeradvocate.com/beer/style/98/,English Bitter
englishpaleale,englishpaleale,https://www.beeradvocate.com/beer/style/154/,English Pale Ale
americanipa,americanipa,https://www.beeradvocate.com/beer/style/116/,American IPA
americandoubleimperialipa,americandoubleimperialipa,https://www.beeradvocate.com/beer/style/140/,American Double / Imperial IPA
englishindiapalealeipa,englishindiapalealeipa,https://www.beeradvocate.com/beer/style/150/,English India Pale Ale (IPA)
americanporter,americanporter,https://www.beeradvocate.com/beer/style/159/,American Porter
englishporter,englishporter,https://www.beeradvocate.com/beer/style/101/,English Porter
balticporter,balticporter,https://www.beeradvocate.com/beer/style/80/,Baltic Porter
americanstout,americanstout,https://www.beeradvocate.com/beer/style/158/,American Stout
americandoubleimperialstout,americandoubleimperialstout,https://www.beeradvocate.com/beer/style/157/,American Double / Imperial Stout
oatmealstout,oatmealstout,https://www.beeradvocate.com/beer/style/69/,Oatmeal Stout
milksweetstout,milksweetstout,https://www.beeradvocate.com/beer/style/82/,Milk / Sweet Stout
irishdrystout,irishdrystout,https://www.beeradvocate.com/beer/style/162/,Irish Dry Stout
belgianpaleale,belgianpaleale,https://www.beeradvocate.com/beer/style/54/,Belgian Pale Ale
dubbel,dubbel,https://www.beeradvocate.com/beer/style/57/,Dubbel
tripel,tripel,https://www.beeradvocate.com/beer/style/58/,Tripel
quadrupelquad,quadrupelquad,https://www.beeradvocate.com/beer/style/142/,Quadrupel (Quad)
belgianstrongdarkale,belgianstrongdarkale,https://www.beeradvocate.com/beer/style/56/,Belgian Strong Dark Ale
saisonfarmhouseale,saisonfarmhouseale,https://www.beeradvocate.com/beer/style/129/,Saison / Farmhouse Ale
americanpalewheatale,americanpalewheatale,https://www.beeradvocate.com/beer/style/93/,American Pale Wheat Ale
witbier,witbier,https://www.beeradvocate.com/beer/style/48/,Witbier
berlinerweissbier,berlinerweissbier,https://www.beeradvocate.com/beer/style/87/,Berliner Weissbier
dunkelweizen,dunkelweizen,https://www.beeradvocate.com/beer/style/91/,Dunkelweizen
hefeweizen,hefeweizen,https://www.beeradvocate.com/beer/style/89/,Hefeweizen
americanwildale,americanwildale,https://www.beeradvocate.com/beer/style/171/,American Wild Ale
lambicfruit,lambicfruit,https://www.beeradvocate.com/beer/style/10/,Lambic - Fruit
flandersredale,flandersredale,https://www.beeradvocate.com/beer/style/53/,Flanders Red Ale
gueuze,gueuze,https://www.beeradvocate.com/beer/style/14/,Gueuze
pumpkinale,pumpkinale,https://www.beeradvocate.com/beer/style/72/,Pumpkin Ale
ryebeer,ryebeer,https://www.beeradvocate.com/beer/style/12/,Rye Beer
smokedbeer,smokedbeer,https://www.beeradvocate.com/beer/style/11/,Smoked Beer
